timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,   0.8486,  0.3008,   29.23,   5.062,   3.797
40,1,    3.149,  0.2519,   30.85,   5.709,   4.281
40,2,    3.705,  0.1966,   25.35,   4.875,   3.656
40,3,  0.02299,  0.0648,    29.1,   4.865,   3.648
45,0,    1.063,  0.3487,   29.35,   5.127,   3.845
45,1,    5.097,  0.2888,    31.6,   6.164,   4.623
45,2,    4.612,  0.2286,    25.6,   5.073,   3.805
45,3,  0.02679, 0.07491,   29.23,   4.888,   3.666
50,0,    2.198,  0.3587,   30.23,   5.464,   4.098
50,1,    7.009,  0.2913,   31.85,   6.525,   4.894
50,2,    5.492,  0.2373,   25.73,   5.242,   3.932
50,3,  0.02809, 0.07763,   29.35,   4.909,   3.682
55,0,    3.351,  0.3692,   30.35,   5.678,   4.259
55,1,     8.92,  0.2938,   31.98,   6.865,   5.149
55,2,    6.373,  0.2457,   25.85,   5.411,   4.059
55,3,  0.02956, 0.08093,   29.48,   4.931,   3.698
60,0,    4.505,  0.3797,   30.48,   5.893,    4.42
60,1,    10.83,  0.2962,    32.1,   7.205,   5.403
60,2,    7.253,  0.2539,   25.98,    5.58,   4.185
60,3,  0.03103, 0.08423,    29.6,   4.953,   3.714
65,0,    5.585,   0.386,   30.73,   6.116,   4.587
65,1,    13.68,  0.2984,   32.85,   7.805,   5.854
65,2,    7.256,  0.2583,   25.35,   5.477,   4.108
65,3,  0.03211, 0.08712,    29.6,   4.953,   3.715
70,0,    6.678,  0.3923,   30.73,   6.299,   4.724
70,1,    16.52,  0.3006,   32.85,   8.278,   6.209
70,2,    7.259,  0.2627,   25.35,   5.479,   4.109
70,3,   0.0332,    0.09,    29.6,   4.954,   3.715
75,0,    7.776,  0.3986,   30.73,   6.483,   4.862
75,1,    19.36,  0.3026,   32.85,   8.752,   6.564
75,2,    7.261,  0.2672,   25.48,   5.501,   4.125
75,3,  0.03413, 0.09254,    29.6,   4.954,   3.716
80,0,    8.875,  0.4049,   30.73,   6.667,   5.001
80,1,     22.2,  0.3043,   32.98,   9.246,   6.934
80,2,    7.264,  0.2715,   25.48,   5.502,   4.126
80,3,  0.03506, 0.09505,    29.6,   4.955,   3.716
85,0,    9.973,  0.4111,   30.73,   6.852,   5.139
85,1,    25.02,  0.3059,   32.98,   9.717,   7.288
85,2,    7.267,  0.2757,   25.48,   5.503,   4.127
85,3,  0.03598, 0.09752,    29.6,   4.956,   3.717
90,0,    11.04,  0.4173,   30.23,   6.948,   5.211
90,1,    27.88,  0.3075,    33.6,    10.3,   7.723
90,2,     7.27,  0.2799,   25.73,   5.546,   4.159
90,3,  0.03694,     0.1,    29.6,   4.956,   3.717
95,0,     12.1,  0.4235,   30.35,   7.145,   5.359
95,1,    30.75,   0.309,    33.6,   10.78,   8.083
95,2,    7.272,  0.2841,   25.85,   5.568,   4.176
95,3,  0.03769,  0.1018,   29.73,   4.977,   3.733
100,0,    13.15,  0.4297,   30.35,   7.322,   5.491
100,1,    33.63,  0.3105,    33.6,   11.26,   8.443
100,2,    7.275,  0.2882,   25.98,    5.59,   4.192
100,3,  0.03844,  0.1035,   29.73,   4.978,   3.733
105,0,    14.21,  0.4362,   30.48,    7.52,    5.64
105,1,    36.51,   0.312,   33.85,   11.78,   8.834
105,2,    7.278,  0.2924,   25.98,   5.591,   4.193
105,3,  0.03919,  0.1053,   29.73,   4.978,   3.734
110,0,    15.67,   0.445,   30.48,   7.764,   5.823
110,1,    38.44,  0.3137,   33.35,   12.02,   9.013
110,2,    7.822,  0.2989,   26.85,   5.828,   4.371
110,3,  0.03995,   0.107,   29.85,   4.999,    3.75
115,0,     17.1,  0.4536,    30.6,   8.026,    6.02
115,1,     40.4,  0.3153,   33.35,   12.34,   9.258
115,2,    8.366,  0.3055,   26.85,    5.92,    4.44
115,3,  0.04068,  0.1087,   29.98,   5.021,   3.766
120,0,    18.54,   0.462,   30.73,   8.289,   6.216
120,1,    42.35,   0.317,   33.35,   12.67,   9.502
120,2,     8.91,  0.3121,   26.98,   6.033,   4.525
120,3,  0.04142,  0.1103,    30.1,   5.042,   3.781
125,0,    19.98,  0.4705,   30.85,   8.551,   6.413
125,1,     44.3,  0.3188,    33.6,   13.04,   9.778
125,2,    9.454,  0.3188,    27.1,   6.145,   4.609
125,3,  0.04219,   0.112,   30.23,   5.063,   3.797
130,0,    21.11,  0.4805,   30.73,   8.719,    6.54
130,1,    46.23,  0.3205,    33.1,   13.27,   9.956
130,2,    10.34,  0.3269,   27.98,   6.441,   4.831
130,3,  0.04298,  0.1137,   30.35,   5.084,   3.813
135,0,    22.25,  0.4998,   30.73,   8.912,   6.684
135,1,    48.16,  0.3292,   33.23,   13.62,   10.21
135,2,    11.24,  0.3407,   27.98,   6.592,   4.944
135,3,  0.04433,  0.1164,   30.35,   5.085,   3.814
140,0,    23.38,  0.5191,   30.85,   9.126,   6.844
140,1,    50.09,  0.3379,   33.35,   13.96,   10.47
140,2,    12.13,  0.3546,   27.98,   6.743,   5.057
140,3,   0.0457,  0.1191,   30.48,   5.107,    3.83
145,0,    24.72,  0.5393,   30.73,   9.331,   6.998
145,1,    51.09,   0.347,   32.48,   13.98,   10.49
145,2,    13.31,  0.3696,   28.73,   7.068,   5.301
145,3,  0.04717,  0.1219,    30.6,   5.128,   3.846
150,0,    25.64,  0.5572,   30.85,   9.508,   7.131
150,1,    53.04,  0.3559,   33.23,   14.44,   10.83
150,2,    13.96,  0.3824,   27.98,   7.053,   5.289
