timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,  0.01899, 0.01794,   28.23,    4.71,   3.533
40,1, 0.006207, 0.01127,   28.35,   4.728,   3.546
40,2, 0.003696, 0.01194,   23.23,   3.873,   2.905
40,3, 0.003515,0.009744,   28.23,   4.706,    3.53
45,0,  0.02325, 0.02182,    28.1,   4.691,   3.518
45,1, 0.007546, 0.01355,    28.1,   4.687,   3.515
45,2, 0.004688, 0.01519,    23.1,   3.853,    2.89
45,3,   0.0042, 0.01153,    28.1,   4.686,   3.514
50,0,  0.02683, 0.02495,    28.1,   4.692,   3.519
50,1, 0.008634, 0.01533,    28.1,   4.687,   3.515
50,2, 0.005652, 0.01827,    23.1,   3.854,    2.89
50,3, 0.004827, 0.01319,    28.1,   4.686,   3.515
55,0,  0.03014, 0.02798,    28.1,   4.693,    3.52
55,1, 0.009636, 0.01702,    28.1,   4.688,   3.516
55,2, 0.006606, 0.02133,    23.1,   3.855,   2.891
55,3, 0.005417, 0.01479,    28.1,   4.687,   3.515
60,0,  0.03337, 0.03092,    28.1,   4.694,   3.521
60,1,  0.01063, 0.01871,    28.1,   4.688,   3.516
60,2, 0.007562, 0.02441,    23.1,   3.855,   2.891
60,3,  0.00601, 0.01639,    28.1,   4.687,   3.515
65,0,  0.03655, 0.03384,    28.1,   4.695,   3.521
65,1,  0.01162, 0.02043,    28.1,   4.689,   3.517
65,2, 0.008518, 0.02745,    23.1,   3.856,   2.892
65,3, 0.006616, 0.01805,    28.1,   4.687,   3.516
70,0,  0.03976, 0.03685,    28.1,   4.696,   3.522
70,1,  0.01262, 0.02217,    28.1,   4.689,   3.517
70,2, 0.009461,  0.0304,    23.1,   3.857,   2.892
70,3, 0.007227, 0.01974,    28.1,   4.688,   3.516
75,0,  0.04296, 0.03978,    28.1,   4.697,   3.523
75,1,  0.01361, 0.02387,    28.1,    4.69,   3.517
75,2,   0.0104,  0.0333,    23.1,   3.857,   2.893
75,3, 0.007832, 0.02138,    28.1,   4.688,   3.516
80,0,  0.04857, 0.04408,    28.1,   4.699,   3.524
80,1,  0.01548, 0.02688,    28.1,    4.69,   3.518
80,2,  0.01135, 0.03624,    23.1,   3.858,   2.893
80,3, 0.008449, 0.02309,    28.1,   4.689,   3.516
85,0,  0.05418, 0.04847,    28.1,     4.7,   3.525
85,1,  0.01734, 0.02993,    28.1,   4.691,   3.518
85,2,  0.01232, 0.03918,    23.1,   3.859,   2.894
85,3, 0.009074,  0.0248,    28.1,   4.689,   3.517
90,0,  0.05983, 0.05287,    28.1,   4.702,   3.527
90,1,  0.01921, 0.03298,    28.1,   4.692,   3.519
90,2,  0.01328, 0.04213,    23.1,   3.859,   2.894
90,3, 0.009697, 0.02651,    28.1,   4.689,   3.517
95,0,  0.06551,  0.0573,   27.98,   4.683,   3.512
95,1,  0.02106,   0.036,    28.1,   4.693,    3.52
95,2,  0.01423, 0.04507,    23.1,    3.86,   2.895
95,3,  0.01032,  0.0282,    28.1,    4.69,   3.517
100,0,  0.07125, 0.06192,   27.98,   4.685,   3.514
100,1,  0.02298, 0.03929,    28.1,   4.694,    3.52
100,2,  0.01523, 0.04811,    23.1,   3.861,   2.895
100,3,  0.01098, 0.02997,    28.1,    4.69,   3.518
105,0,    0.077, 0.06654,   27.85,   4.666,   3.499
105,1,  0.02491, 0.04253,    28.1,   4.695,   3.521
105,2,  0.01622, 0.05114,    23.1,   3.861,   2.896
105,3,  0.01163, 0.03172,    28.1,   4.691,   3.518
110,0,  0.08274, 0.07113,   27.73,   4.646,   3.485
110,1,  0.02687, 0.04586,    28.1,   4.695,   3.522
110,2,  0.01721, 0.05423,    23.1,   3.862,   2.896
110,3,   0.0123,  0.0335,    28.1,   4.691,   3.518
115,0,  0.08846, 0.07571,    27.6,   4.627,   3.471
115,1,  0.02883, 0.04917,    28.1,   4.696,   3.522
115,2,   0.0182, 0.05732,    23.1,   3.863,   2.897
115,3,  0.01298, 0.03529,    28.1,   4.691,   3.519
120,0,  0.09172, 0.07873,   27.48,   4.608,   3.456
120,1,  0.02988, 0.05116,    28.1,   4.697,   3.523
120,2,  0.01917, 0.06034,    23.1,   3.863,   2.897
120,3,  0.01365, 0.03703,    28.1,   4.692,   3.519
125,0,  0.09497, 0.08165,   27.35,   4.588,   3.441
125,1,  0.03094, 0.05313,    28.1,   4.697,   3.523
125,2,  0.02014, 0.06338,    23.1,   3.864,   2.898
125,3,  0.01431, 0.03875,    28.1,   4.692,   3.519
130,0,  0.09818, 0.08456,   27.23,   4.568,   3.426
130,1,    0.032, 0.05511,    28.1,   4.698,   3.523
130,2,  0.02111, 0.06642,    23.1,   3.865,   2.898
130,3,  0.01497, 0.04046,    28.1,   4.693,   3.519
135,0,   0.1015, 0.08758,   27.23,   4.569,   3.427
135,1,  0.03306, 0.05708,    28.1,   4.698,   3.524
135,2,  0.02209, 0.06946,    23.1,   3.865,   2.899
135,3,  0.01564,  0.0422,    28.1,   4.693,    3.52
140,0,   0.1047, 0.09047,    27.1,   4.549,   3.412
140,1,  0.03404, 0.05881,    28.1,   4.699,   3.524
140,2,  0.02302,  0.0724,    23.1,   3.866,   2.899
140,3,  0.01627, 0.04389,    28.1,   4.693,    3.52
145,0,   0.1079, 0.09334,    27.1,    4.55,   3.413
145,1,  0.03504, 0.06056,    28.1,   4.699,   3.524
145,2,  0.02397, 0.07533,    23.1,   3.867,     2.9
145,3,   0.0169, 0.04557,    28.1,   4.694,    3.52
150,0,   0.1112, 0.09615,    27.1,   4.551,   3.413
150,1,  0.03598, 0.06219,    28.1,     4.7,   3.525
150,2,  0.02493, 0.07824,    23.1,   3.867,     2.9
150,3,  0.01751, 0.04719,    28.1,   4.694,   3.521
155,0,   0.1145, 0.09894,    27.1,   4.552,   3.414
155,1,  0.03693, 0.06382,    28.1,     4.7,   3.525
155,2,  0.02589, 0.08111,    23.1,   3.868,   2.901
155,3,  0.01813,  0.0488,    28.1,   4.694,   3.521
160,0,    0.118,  0.1017,    27.1,   4.553,   3.415
160,1,  0.03789, 0.06543,    28.1,   4.701,   3.525
160,2,  0.02685,   0.084,    23.1,   3.868,   2.901
160,3,  0.01873, 0.05037,    28.1,   4.695,   3.521
165,0,   0.1217,  0.1046,    27.1,   4.554,   3.416
165,1,  0.03887, 0.06705,    28.1,   4.701,   3.526
165,2,  0.02783, 0.08687,    23.1,   3.869,   2.902
165,3,  0.01934, 0.05193,    28.1,   4.695,   3.521
170,0,   0.1255,  0.1075,   27.23,   4.576,   3.432
170,1,  0.03987, 0.06868,    28.1,   4.701,   3.526
170,2,  0.02881, 0.08979,    23.1,    3.87,   2.902
170,3,  0.01994, 0.05349,    28.1,   4.696,   3.522
175,0,   0.1294,  0.1102,   27.35,   4.598,   3.449
175,1,  0.04089,  0.0703,    28.1,   4.702,   3.526
175,2,  0.02977, 0.09271,    23.1,    3.87,   2.903
175,3,  0.02054, 0.05502,    28.1,   4.696,   3.522
180,0,   0.1335,  0.1128,   27.48,    4.62,   3.465
180,1,  0.04193, 0.07193,    28.1,   4.702,   3.527
180,2,  0.03076,  0.0956,    23.1,   3.871,   2.903
180,3,  0.02114, 0.05651,    28.1,   4.696,   3.522
185,0,   0.1377,  0.1154,   27.48,   4.621,   3.466
185,1,  0.04298, 0.07354,    28.1,   4.703,   3.527
185,2,  0.03174, 0.09848,    23.1,   3.872,   2.904
185,3,  0.02174,   0.058,    28.1,   4.697,   3.522
190,0,   0.1419,   0.118,   27.48,   4.622,   3.467
190,1,  0.04405, 0.07519,    28.1,   4.703,   3.527
190,2,   0.0327,  0.1013,    23.1,   3.872,   2.904
190,3,  0.02234, 0.05949,    28.1,   4.697,   3.523
195,0,   0.1464,  0.1206,    27.6,   4.644,   3.483
195,1,  0.04514, 0.07684,    28.1,   4.704,   3.528
195,2,  0.03368,  0.1042,    23.1,   3.873,   2.905
195,3,  0.02294, 0.06098,    28.1,   4.697,   3.523
200,0,   0.1507,  0.1232,    27.6,   4.646,   3.484
200,1,  0.04623, 0.07851,    28.1,   4.704,   3.528
200,2,  0.03467,   0.107,    23.1,   3.874,   2.905
200,3,  0.02354, 0.06245,    28.1,   4.698,   3.523
205,0,   0.1549,  0.1257,    27.6,   4.647,   3.485
205,1,  0.04732, 0.08018,    28.1,   4.705,   3.528
205,2,  0.03564,  0.1098,    23.1,   3.874,   2.906
205,3,  0.02414, 0.06393,    28.1,   4.698,   3.524
210,0,   0.1589,  0.1282,   27.48,   4.627,    3.47
210,1,  0.04838, 0.08186,    28.1,   4.705,   3.529
210,2,  0.03661,  0.1126,    23.1,   3.875,   2.906
210,3,  0.02474, 0.06541,    28.1,   4.698,   3.524
215,0,   0.1628,  0.1307,   27.35,   4.607,   3.455
215,1,  0.04943, 0.08354,    28.1,   4.705,   3.529
215,2,  0.03759,  0.1154,    23.1,   3.875,   2.907
215,3,  0.02534,  0.0669,    28.1,   4.699,   3.524
220,0,   0.1666,  0.1332,   27.23,   4.587,   3.441
220,1,  0.05046, 0.08519,    28.1,   4.706,   3.529
220,2,  0.03856,  0.1181,    23.1,   3.876,   2.907
220,3,  0.02594, 0.06839,    28.1,   4.699,   3.524
225,0,   0.1702,  0.1356,   27.23,   4.588,   3.441
225,1,  0.05155, 0.08691,    28.1,   4.706,    3.53
225,2,  0.03951,  0.1208,    23.1,   3.877,   2.908
225,3,  0.02654, 0.06987,    28.1,   4.699,   3.525
230,0,   0.1738,  0.1381,   27.23,   4.589,   3.442
230,1,  0.05262, 0.08863,    28.1,   4.707,    3.53
230,2,  0.04048,  0.1236,    23.1,   3.877,   2.908
230,3,  0.02714, 0.07136,    28.1,     4.7,   3.525
235,0,   0.1772,  0.1406,    27.1,    4.57,   3.427
235,1,  0.05366, 0.09037,    28.1,   4.707,   3.531
235,2,  0.04145,  0.1265,    23.1,   3.878,   2.908
235,3,  0.02774, 0.07286,    28.1,     4.7,   3.525
240,0,   0.1806,   0.143,    27.1,   4.571,   3.428
240,1,   0.0547, 0.09208,    28.1,   4.708,   3.531
240,2,   0.0424,  0.1293,    23.1,   3.879,   2.909
240,3,  0.02834, 0.07437,    28.1,     4.7,   3.525
MARK: log cycle at timestamp 240
